Mcavernosa13875	Transcription
Mcavernosa33401	
Mcavernosa08566	Secondary metabolites biosynthesis, transport and catabolism
Mcavernosa28090	Nucleotide transport and metabolism
Mcavernosa26459	Lipid transport and metabolism
Mcavernosa21619	Coenzyme transport and metabolism
Mcavernosa34467	Posttranslational modification, protein turnover, chaperones
Mcavernosa14703	Posttranslational modification, protein turnover, chaperones
Mcavernosa01864	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa13566	RNA processing and modification
Mcavernosa09230	Transcription
Mcavernosa00557	Energy production and conversion
Mcavernosa28765	Signal transduction mechanisms
Mcavernosa10917	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa08271	Carbohydrate transport and metabolism
Mcavernosa19346	Coenzyme transport and metabolism
Mcavernosa03461	Lipid transport and metabolism
Mcavernosa01426	Lipid transport and metabolism
Mcavernosa30847	Posttranslational modification, protein turnover, chaperones
Mcavernosa30504	Signal transduction mechanisms
Mcavernosa33691	Signal transduction mechanisms
Mcavernosa34285	Transcription
Mcavernosa18053	Lipid transport and metabolism
Mcavernosa12833	Posttranslational modification, protein turnover, chaperones
Mcavernosa24520	Posttranslational modification, protein turnover, chaperones
Mcavernosa16452	Inorganic ion transport and metabolism
Mcavernosa04934	Cell wall/membrane/envelope biogenesis
Mcavernosa17606	Signal transduction mechanisms
Mcavernosa05114	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa19111	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa14817	Posttranslational modification, protein turnover, chaperones
Mcavernosa02071	Secondary metabolites biosynthesis, transport and catabolism
Mcavernosa13763	Signal transduction mechanisms
Mcavernosa30430	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa28616	Signal transduction mechanisms
Mcavernosa12277	Signal transduction mechanisms
Mcavernosa17000	Defense mechanisms
Mcavernosa21073	Inorganic ion transport and metabolism
Mcavernosa27929	Lipid transport and metabolism
Mcavernosa00050	Carbohydrate transport and metabolism
Mcavernosa15292	Signal transduction mechanisms
Mcavernosa12910	Intracellular trafficking, secretion, and vesicular transport
Mcavernosa27285	Replication, recombination and repair
Mcavernosa07163	Posttranslational modification, protein turnover, chaperones
Mcavernosa14996	Translation, ribosomal structure and biogenesis
Mcavernosa16702	Carbohydrate transport and metabolism
Mcavernosa08569	Cytoskeleton
Mcavernosa05136	Energy production and conversion
Mcavernosa21183	Signal transduction mechanisms
Mcavernosa23257	Posttranslational modification, protein turnover, chaperones
Mcavernosa24919	RNA processing and modification
Mcavernosa01708	Intracellular trafficking, secretion, and vesicular transport
