Block Type,96-Well 0.1-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,03-02-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,SYBR_GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2019-04-23 13:21:20 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,D:\CD_Mote1_Plate3.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,CD_Mote1_Plate3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2019-04-23 13:08:41 PM EDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,      172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Serial Number,172310454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 3 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage where Melt Analysis is performed,Stage3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,EXPFAIL,HIGHSD,NOAMP,Tm1,Tm2,Tm3,Tm4
1,A1,FALSE,NTC,Mcav,UNKNOWN,SYBR,None,Undetermined,33.522,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,60.001,,,
2,A2,FALSE,+,C,UNKNOWN,VIC,NFQ-MGB,15.953,16.062,0.154,,,,,,,,FALSE,0.020,TRUE,3,14,Amp,,0.890,N,N,N,N,0.000,,,
2,A2,FALSE,+,D,UNKNOWN,FAM,NFQ-MGB,9.337,9.549,0.300,,,,,,,,FALSE,0.020,TRUE,3,7,Amp,,0.531,Y,N,N,N,61.180,,,
3,A3,FALSE,26-13,Mcav,UNKNOWN,SYBR,None,24.215,24.465,0.353,,,,,,,,FALSE,0.020,TRUE,3,22,Amp,,0.785,Y,N,N,N,75.319,,,
4,A4,FALSE,26-13,C,UNKNOWN,VIC,NFQ-MGB,31.488,31.609,0.171,,,,,,,,FALSE,0.020,TRUE,3,29,Amp,,0.895,N,N,N,N,0.000,,,
4,A4,FALSE,26-13,D,UNKNOWN,FAM,NFQ-MGB,29.578,29.636,0.083,,,,,,,,FALSE,0.020,TRUE,3,28,Amp,,0.951,N,N,N,N,74.583,,,
5,A5,FALSE,26-13,Mcav,UNKNOWN,SYBR,None,24.715,24.465,0.353,,,,,,,,FALSE,0.020,TRUE,3,23,Amp,,0.844,N,N,N,N,75.172,,,
6,A6,FALSE,26-13,C,UNKNOWN,VIC,NFQ-MGB,31.730,31.609,0.171,,,,,,,,FALSE,0.020,TRUE,3,30,Amp,,0.905,N,N,N,N,0.000,,,
6,A6,FALSE,26-13,D,UNKNOWN,FAM,NFQ-MGB,29.695,29.636,0.083,,,,,,,,FALSE,0.020,TRUE,3,28,Amp,,0.940,N,N,N,N,74.877,,,
7,A7,FALSE,23-?,Mcav,UNKNOWN,SYBR,None,26.245,26.473,0.323,,,,,,,,FALSE,0.020,TRUE,3,24,Amp,,0.992,N,N,N,N,75.172,,,
8,A8,FALSE,23-?,C,UNKNOWN,VIC,NFQ-MGB,26.801,26.802,0.001,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.918,N,N,N,N,0.000,,,
8,A8,FALSE,23-?,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,74.730,,,
9,A9,FALSE,23-?,Mcav,UNKNOWN,SYBR,None,26.702,26.473,0.323,,,,,,,,FALSE,0.020,TRUE,3,24,Amp,,0.848,N,N,N,N,75.172,,,
10,A10,FALSE,23-?,C,UNKNOWN,VIC,NFQ-MGB,26.803,26.802,0.001,,,,,,,,FALSE,0.020,TRUE,3,25,Amp,,0.919,N,N,N,N,0.000,,,
10,A10,FALSE,23-?,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,74.583,,,
11,A11,FALSE,+,Mcav,UNKNOWN,SYBR,None,13.756,14.220,0.656,,,,,,,,FALSE,0.020,TRUE,3,11,Amp,,0.346,Y,N,Y,N,75.172,,,
12,A12,FALSE,NTC,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,0.000,,,
12,A12,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,11,No Amp,,0.000,Y,N,N,N,73.994,,,
13,B1,FALSE,26-15,Mcav,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,60.001,,,
14,B2,FALSE,26-15,C,UNKNOWN,VIC,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,0.000,,,
14,B2,FALSE,26-15,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.020,TRUE,3,39,No Amp,,0.000,Y,Y,N,Y,74.583,,,
